Question,Answer
That all sounds great Can you tell me what time I can check in and check out,"Our checkin time is 300 pm, and our checkout time is 1200 pm However, if you need to check in earlier or check out later, please let us know and we will do our best to accommodate your request"
"Okay, thanks for the information I think Im ready to book a room now","Great To make a reservation, I just need some basic information from you May I have your name and the dates you wish to stay"
"Yes, my name is Jane Smith and I would like to stay from May 10th to May 15th","Thank you, Jane And which room type would you like to book"
I think Ill go with the Fashionable Smart King Room,Excellent choice Your total for the five nights will be 790rmb Would you like to confirm the booking now
"Yes, please","Okay, I just need your credit card information to secure the reservation You will not be charged until you arrive at the hotel"
"Sure, my credit card number is XXXX XXXX XXXX XXXX and the expiration date is XXXX","Thank you, Jane Your reservation is now confirmed Is there anything else I can assist you with"
"Hi, Id like to make a reservation for a room, please","Sure, wed be happy to help you with that When would you like to checkin"
Im planning to arrive on the 15th of next month,"Great, we have a variety of room types available for you to choose from Would you prefer a Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room or Diversified Smart Film Room"
Could you please give me more information about each room type and their rates,"Certainly Our Comfort Standard Room and Comfort Single Room are priced at 108 RMB per night Our Business Duplex Standard Room and Business Duplex King Room are also priced at 108 RMB per night The Executive Business Standard King Room is priced at 128 RMB per night The Fashionable Smart Standard Room and Fashionable Smart King Room are priced at 158 RMB per night The Leisure Duplex Chess Room is priced at 200 RMB per night, and the Diversified Smart Film Room is priced at 400 RMB per night"
Thank you for the information I think Ill go for the Fashionable Smart King Room,"Excellent choice Your room will include all the amenities such as air conditioning, a washing machine, hair dryer, television, and electric kettle Additionally, our WiFi is available to all guests and the password is the room number Breakfast is served from 930 am to 1030 am, and we have a gym available for guests to use Is there anything else you need to know"
"Yes, what time is checkin and checkout","Our checkin time is 300 pm, and checkout time is 1200 pm If you need any assistance during your stay, please dont hesitate to contact our front desk at 1234567789"
Thank you And is there free parking available near the hotel,"Yes, we have free parking available near the hotel for our guests Additionally, were conveniently located near a supermarket, cinema, and market"
"That sounds great Ill take the Fashionable Smart King Room for 5 nights, starting from the 15th of next month","Perfect, your reservation has been made Please give me your name and contact information"
"My name is John Doe, and my contact information is 5551234","Thank you, John Your reservation is confirmed We look forward to welcoming you to Lihao Hotel next month"
Thank you very much I cant wait to stay at your hotel Goodbye,Goodbye and have a great day
"Hi, Im calling to inquire about Lihao Hotel","Hi, thanks for calling Lihao Hotel How can I assist you"
Is there availability on September 8th,"Yes, we have rooms available for the 8th of September Would you like a standard or a more luxurious room"
Im looking for something a bit more luxurious What did you have available,"We have a few options for our luxury rooms We have the Executive Business Standard King Room for 128rmb, the Fashionable Smart Standard Room for 158rmb, the Fashionable Smart King Room for 158rmb, the Leisure Duplex Chess Room for 200rmb and the Diversified Smart Film Rom for 400rmb"
What is included in these luxurious rooms,"All the rooms include air conditioning, a washing machine, a hair dryer, a television, an electric kettle and free WiFi with the password being the room number The breakfast is served between 930 am to 1030 am"
That sounds good Is there any nearby amenities,"Yes, there a superb market, supermarket and cinemas just a few steps away"
Perfect What are the checkin and checkout times,"The checkin time is 300 pm, and the checkout time is 1200 pm"
Can I get that room booked for the 8th of September then,Certainly Im just processing the booking for you now Is there anything else I can help you with
"Thats it for now, thanks",Youre most welcome Hope you have a great stay at Lihao Hotel
"Hi, I am interested in making a booking for Lihao Hotel at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",Hi there Welcome to Lihao Hotel What kind of room would you like to book
Im looking for a Comfort Standard Room,Sure We have Comfort Standard Rooms available for 108rmb per night Do you require any additional amenities
"Yeah, do you provide a television, air conditioner, washing machine, electric kettle, and hair dryer in the Comfort Standard Room","Yes, all our rooms are equipped with a television, air conditioner, washing machine, electric kettle, and hair dryer What time would you like to checkin"
I would like to checkin at 300 pm,Perfect Our checkin time is 300 pm Is there anything else I can help you with
"Yes, what time does the breakfast start and does the hotel offer free parking","Yes, we offer free parking for our guests near the hotel Our breakfast time is from 930 am to 1030 am We also have a gym available for our guests In addition, WiFi is available with the password being the room number Lastly, there are many nearby amenities such as a supermarket, cinema, and market"
Thats great I think thats all the information I need,"Okay, Ive noted all your requests I just need your personal information for the booking and youll be all set"
"Hello, can I make a reservation for this evening at the Lihao Hotel","Hi, absolutely How many nights will you be staying"
I plan on one night,"Sounds great What room type would you like We have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, Diversified Smart Film Rooms"
I think the Executive Business Standard King Room sounds perfect,Excellent I believe that room is 128rmb per night Do you have any other special requests
"Yes, I would also like to have access to a gym and free Wifi","Not a problem Our gym is available for guests, and the Wifi password is the room number"
That sounds great I also have some other inquiries,"Certainly, what other information would you like to know"
"I would like to know about other amenities that are offered, such as if there is a microwave, washing machine, hair dryer, television, electric kettle, and free parking","Absolutely The hotel does offer all of those amenities We also have a supermarket, cinema and markets nearby"
"Okay, thats perfect What is the checkin and checkout time",The checkin time is at 3pm and the checkout time is at 12pm We also serve a complimentary breakfast from 930am to 1030am
That sounds great Can I make the reservation now,"You certainly may I just need to get some details from you first Whats your name, payment information and contact number"
"My name is John Smith, and my contact number is 1112223333 Would you prefer if I give you my card information now or when I check in",You can give us your payment information when you check in
"Hello, I would like to book a room at Lihao Hotel","Hi, how can I help you"
I would like to book a Comfort Standard Room for tonight,Certainly The Comfort Standard Rooms are 108rmb per night Do you need anything else
"Yes, I would also like to know about your amenities","Sure We have air conditioning, a washing machine, a hair dryer, a television, an electric kettle and free parking near the hotel We also have a gym available for guests to use There is also WiFi available, the password being the room number Breakfast is available from 930 am to 1030 am There are also a supermarket, cinema and market nearby"
That sounds great Could you tell me the checkin and checkout times,Our checkin time is 300 pm and our checkout time is 1200 pm
"Okay, I think thats everything Can I get your telephone number in case I need to contact you","Yes, of course Our telephone number is 1234567789 Is there anything else I can help you with"
"No, that should be it for now Thank you for your help",No problem We look forward to having you as our guest Have a pleasant day
"Hi, could I get more information about Lihao Hotel please","Absolutely Lihao Hotel is located at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden We offer a variety of room options for a comfortable stay, ranging from Comfort Standard Room to Diversified Smart Film Rom We have amenities like a gym, WiFi with a password based on the room number, a Supermarket, and a nearby cinema and market Additionally, the Checkin time is at 300 pm and Checkout is at 1200 pm Breakfast is available from 930 am to 1030 am Our hair dryer, television, electric kettle, and air conditioner are all within our rooms, and free parking is available near the hotel Is there anything else I may help you with"
"Do all the rooms have a television, a washing machine and a hair dryer","Yes, absolutely We provide all of those services in all of our room types, ranging from the Comfort Standard Room to the Diversified Smart Film Rom Is there anything else I may help you with"
Id like to know the prices for each room type,"Of course The Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb and Diversified Smart Film Room is 400rmb Is there anything else I can do for you"
"Hi, Id like to book a room at Lihao Hotel",Hi there How can I help you
Could you tell me what room types are available,"Absolutely We have the following room types for you to choose from Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, and Diversified Smart Film Rom 400rmb"
"Great, thank you Could you tell me a bit more about the hotel","Sure Lihao Hotel is located at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden We have a variety of amenities such as a gym and free parking available near the hotel, as well as a supermarket, cinema, and market nearby  We also provide complimentary breakfast from 930 am to 1030 am In terms of our rooms, each one is fully equipped with an air conditioner, washing machine, hair dryer, television, electric kettle and WiFi access, with the password being the room number"
That sounds wonderful Could you also tell me when checkin and checkout times are,Sure thing Checkin time starts at 300 pm and checkout time is 1200 pm
"Okay, great I think Ill book a room now",Wonderful What room type would you like
Id like to book the Executive Business Standard King Room for 128rmb,Perfect When would you like to checkin and checkout
I would like to checkin tomorrow at 300 pm and checkout the day after at 1200 pm,Got it Let me just check availability Great We have that room type available for the requested dates Could I have your details to make the reservation
"Yes, of course","Wonderful If you need any further assistance, please dont hesitate to call us at 1234567789 or come right over to the front desk"
"Hi, Im looking for a hotel to book for the night Do you have availability for tonight","Hi there Yes, at Lihao Hotel we have availability for tonight We are located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have several room types available which include Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
What time is checkin and checkout,The checkin time is 300 pm and checkout time is 1200 pm You can also contact our front desk at 1234567789
What amenities do you offer,"We offer a breakfast from 930 am to 1030 am, gym availability for guests, free WiFi with the password being the room number, air conditioning, washing machines, hair dryers, televisions, and electric kettles There are also nearby amenities including a supermarket, cinema, and market Plus, we offer free parking near the hotel"
That sounds great I would like to book a room for tonight,Absolutely Please let me know which type of room you would like and I would be happy to book it for you
"Hi there, Im looking for a hotel room for tonight Can you tell me what you have available","Absolutely Our Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of room types available, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
Can you tell me the prices for these rooms,"Sure Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, Diversified Smart Film Rom 400rmb"
Sounds great What other amenities do you have,"We offer buffet breakfast from 930 am to 1030 am We also have a gym available for our guests WiFi is available in the rooms, and the password is the room number Other amenities nearby include a supermarket, cinema, and market, and we have free parking available near the hotel In each of rooms, there is air conditioner, washing machine, hair dryer, television and electric kettle available"
Perfect How do I book a room,"Great Please let me know which room type you would like to book and I can help you with the reservation Checkin time is 300 pm, and checkout time is 1200 pm Our front desk telephone number is 1234567789 for any further questions Is there anything else I can help you with"
"Hello, Im planning to stay in your Lihao Hotel for a night Can you tell me more about it","Sure The Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a range of room types, starting from the Comfort Standard Room and ending with the Diversified Smart Film Room All of our rooms come with air conditioning, washing machine, hair dryer and television, along with an electric kettle We offer free WiFi with the password being the room number"
Sounds great What are the checkin and checkout times,The checkin time is 300 pm and the checkout time is 1200 pm
Do you have a gym and breakfast,Yes We have a gym available for our guests and complimentary breakfast from 930 am to 1030 am
Are there any nearby amenities,"Sure We have a supermarket, cinema, and a market all within close proximity And of course, we offer free parking near the hotel"
That sounds perfect How much would a nights stay cost,"The prices of our rooms vary depending on the room type The Comfort Standard Room and Comfort Single Room are both 108rmb The Business Duplex Standard Room is 108rmb, while the Business Duplex King Room is 128rmb The Executive Business Standard King Room and Fashionable Smart Standard Room are both 158rmb and finally, the Fashionable Smart King Room and Leisure Duplex Chess Room are both 200rmb The Diversified Smart Film Rom is 400rmb"
Hi Id like to know more information about the Lihao Hotel,"Sure Lihao Hotel is located at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden Checkin time is at 300 PM while checkout time is at 12 noon We have various room types to choose from which includes Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room and Diversified Smart Film Rom All rooms have air conditioners, washing machines, hair dryers, televisions and electric kettles Breakfast is served from 930 am to 1030 am We also have a gym available for our guests to use WiFi is also available with the password being the room number And there are various amenities nearby like supermarkets, cinemas and markets Free parking is also available near the hotel"
"Hi, Im interested in staying at the Lihao Hotel Can you tell me more about it","Sure thing Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have multiple room types available to fit your preferences and budget Our Rooms vary from Comfort Standard Rooms to Leisure Duplex Chess Rooms costing up to 400RMB Our checkin time is 300pm and checkout time is 1200pm All our rooms have an air conditioner, washing machine, hair dryer, television, and electric kettle Breakfast is served from 930am to 1030am For those looking to stay active, we offer a gym for our guests And of course, we offer free WiFi with the password being the room number For parking, there is free parking available near the hotel And for convenience, there is a nearby supermarket, cinema, and market"
"Wow, this hotel sounds amazing How much does it cost","We offer different room types with varying prices Comfort Standard Rooms cost 108RMB for single occupancy, Comfort Single Rooms cost 108RMB for single occupancy, Business Duplex Standard Rooms cost 108RMB for single occupancy, Business Duplex King Rooms cost 108RMB for single occupancy, Executive Business Standard King Rooms cost 128RMB for single occupancy, Fashionable Smart Standard Rooms cost 158RMB for single occupancy, Fashionable Smart King Rooms cost 158RMB for single occupancy, Leisure Duplex Chess Rooms cost 200RMB for single occupancy, and Diversified Smart Film Rooms cost 400RMB for single occupancy"
Thats great Could I get a discount,"Yes, we offer discounts for long stays We can offer a 10 discount for stays of 7 nights or more, and a 15 discount for stays of 14 nights or more"
"Hi, Id like to make a reservation","Hi, welcome to Lihao Hotel How can I help you today"
Im looking for a room with comfortable amenities and a good view,"Absolutely We have plenty of options for you What type of room do you prefer We offer Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room Prices vary per room type and amenities"
"What about amenities like airconditioning, television, washing machine and other commodities","All of our rooms are airconditioned and are equipped with a TV, washing machine, dryer, electric kettle, and a hairdryer"
That sounds great I would like to book the Fashionable Smart Standard Room,All right That room is priced at 158rmb per night
Thats fine What other services do you provide,"Our hotel provides free WiFi access with the password being the room number We also have a breakfast buffet available from 930 am to 1030 am Our fitness center is open throughout the day and there is a supermarket, cinema, and market nearby Lastly, we offer free parking near the hotel"
Thats fantastic Ill take it,Perfect The checkin time is at 300 pm and the checkout time is 1200 noon Please call our front desk at 1234567789 for further assistance Thank you for choosing Lihao Hotel Have a great stay
"Hi, Im interested in booking a room at your hotel",Great We have a variety of room types available What kind of room are you looking for
Im looking for a room thats comfortable and affordable,We have a few options that might suit your needs Our Comfort Standard Room and Comfort Single Room are both priced at 108rmb per night
That sounds reasonable Can you tell me more about these rooms,"The Comfort Standard Room and Comfort Single Room both come with amenities such as air conditioning, a washing machine, a hair dryer, a television, and an electric kettle They also come with free WiFi access, which uses the room number as the password Additionally, we offer free parking near the hotel"
That all sounds good What time is checkin and checkout,Checkin time is at 300 pm and checkout time is at 1200 pm
That works for me How about breakfast Is it included in the room rate,"Breakfast is served from 930 am to 1030 am and is not included in the room rate However, we do offer a breakfast package for an additional fee"
"Okay, Ill keep that in mind Can you tell me about the nearby amenities","Sure, were located near a supermarket, cinema, and market Our guests also have access to our gym"
"Great, I think Ill go ahead and book the Comfort Standard Room Can you tell me how to make a reservation","Sure thing You can make a reservation by calling our front desk at 1234567789 Well need your name, contact information, and preferred checkin and checkout dates"
Sounds easy enough Thank you for your help,Youre welcome Is there anything else I can assist you with
"No, thats all for now Thank you again","Youre welcome, and we look forward to seeing you at Lihao Hotel"
"Hello, Im looking for information about Lihao Hotel","Hi there, how can I help you"
"Id like to find out more about the room types, their prices, the checkin and checkout times, and the amenities that come with","Certainly So, Lihao Hotel has a variety of room types with different prices, starting at 108rmb for our Comfort Standard Room and Comfort Single Room, and going up to 400rmb for our Diversified Smart Film Room The checkin time is 3 pm and checkout time is 12 pm"
That sounds great Do you have any other services at the hotel,"We do We provide free parking near the hotel, so you wont have to worry about your car We also have a front desk telephone number of 1234567789 where you can contact us if you need any help"
"Hi, I am interested in booking a room for two nights Can you tell me about the available room types","Certainly We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom"
"Wow, thats quite a variety Can you give me more information on the Business Duplex Standard Room","The Business Duplex Standard Room is a spacious room with two floors, a comfortable kingsized bed, a sofa, a work desk, and a private bathroom It also features a washing machine, air conditioning, a hair dryer, a television, and an electric kettle"
That sounds perfect Can you tell me the price for a twonight stay in the Business Duplex Standard Room,"The rate for the Business Duplex Standard Room is 108rmb per night, so the total for a twonight stay would be 216rmb"
Great What time is checkin and checkout,"Our checkin time is 300 pm, and our checkout time is 1200 pm If you need to check in earlier or check out later, please let us know and we will try our best to accommodate your request"
"Okay, that works for me Can you also tell me about the amenities available at the hotel","Certainly All of our rooms come equipped with air conditioning, washing machines, hair dryers, televisions, and electric kettles We also offer free WiFi, and the password is the room number In addition, we have a gym available for guests, and there is free parking near the hotel We serve breakfast from 930 am to 1030 am, and there are a supermarket, cinema, and market nearby for your convenience"
"That all sounds great One last thing, do you offer any discounts or promotions for longer stays","Yes, we do If you book for more than three nights, you can enjoy a 10 discount on the room rate"
Thats fantastic I think I will book the Business Duplex Standard Room for two nights How can I proceed with the booking,"Excellent To book a room, I will need your name, contact information, and credit card details for payment Once I have that information, I can reserve the room for you and send you a confirmation email with all the details"
"Okay, let me give you my details My name is John Smith, and my email is johnsmithemailcom My phone number is 1234567890, and my credit card number is 1234567890123456","Thank you, Mr Smith I have booked the Business Duplex Standard Room for you for two nights You will receive a confirmation email shortly with all the details"
"Great, thank you so much","Youre welcome, Mr Smith We look forward to having you as our guest If you need anything else, dont hesitate to contact us"
"Thanks again, have a great day","You too, Mr Smith Goodbye"
Hi I would like to check availability of rooms in your Lihao Hotel,Hi there Thank you for calling Lihao Hotel How can I help you
"Yes I would like to book a room I need to stay overnight, so what type of room Do the rooms come with amenities","Yes, of course We have a variety of room types, ranging from Comfort Standard Rooms to Executive Business Standard King Rooms All our rooms are well equipped with amenities like air conditioning, washing machine, hair dryer, televisions, and electric kettles Additionally, we provide complimentary WiFi access to our guests, with the password being the room number"
"Wow, that sounds great What is the room rate and availability",The room rate per night depends on the type of room you choose The Comfort Standard Room and Comfort Single Room both cost 108rmb The Business Duplex Standard Room and Business Duplex King Room cost 108rmb The Executive Business Standard King Room costs 128rmb The Fashionable Smart Standard Room and Fashionable Smart King Room both cost 158rmb The Leisure Duplex Chess Room and Leisure Duplex Chess Room cost 200rmb And the Diversified Smart Film Room costs 400rmb We have plenty of rooms available for the time being Shall I check the availability for you
"Yes, please",Absolutely Let me just check for you We have several rooms available for the specific dates you request So please feel free to choose the one that fits your needs Is there anything else I can help you with before I give you the booking information
Are there any other amenities included in the room rate,"Certainly We have complimentary breakfast from 930am to 1030am, a fitness gym available for guests, and free parking near the hotel We are also just next to the fruit market and across from Futian Garden, which provide our guests with easy access to many nearby amenities like supermarkets, cinemas, and markets"
That is great I think I will book a room,Wonderful We will be more than happy to accommodate you
Are there any other details should be noted,"Yes The checkin time is at 300pm, and the checkout time is at 1200pm The front desk telephone number is 1234567789 Please feel free to contact us in case you have any further inquiry"
Great Ill book now,"Splendid You can now book the room directly from our website or by calling us Once again, thank you for choosing Lihao Hotel Would you like me to send you an email with the details of your booking"
"Sure, that would be great","Excellent I will get it to you right away If you need any assistance, please dont hesitate to call us any time Have a lovely day"
"Hello, Id like to book a room at the Lihao Hotel","Hi there Welcome to Lihao Hotel What type of room are you interested in We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Rom and more"
Thats a lot of options Can you tell me a little bit about the amenities each room offers,"Absolutely We offer air conditioners, a washing machine, a hair dryer, a television, an electric kettle and free WiFi in the rooms Breakfast is complimentary and served from 930 am to 1030 am We also have a gym and free parking facilities are available near the hotel"
Great Id like to book the Comfort Standard Room,"Sure, let me provide you with some information regarding that The Comfort Standard Room costs 108rmb, checkin is at 300 pm and checkout is at 1200 pm Please note that the WiFi password is the same as your room number Do you have any other questions"
"Yes, is there a supermarket, cinema, or market nearby","Yes, there is There is a supermarket, cinema, and market just a few steps away from the Lihao Hotel"
Thats great Can I use my credit card to make the payment,"Yes, absolutely We accept all major credit cards"
Hi there Could I check the availability of your rooms for the next weekend,"Sure What kind of room would you like We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room"
Could I get more details about the Comfort Standard Room,"Sure The Comfort Standard Room is 108rmb per night and is equipped with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle WiFi is also available with the password being the room number"
Do you also have parking facilities for the customers,"Yes, we do We provide free parking near the hotel"
What about the breakfast,"Breakfast is available from 930 am to 1030 am For other meals, there are a lot of restaurants and cafes nearby"
What about other facilities,"We also have a gym for our guests, a supermarket and a cinema within walking distance, and a market across the street"
Great Can I get any discounts,Certainly We have special discounts and promotions for returning guests Please provide us with your contact details to avail these offers
Hello,"HiThanks for calling Lihao Hotel, How can I help you"
"I want to book a room for a weekend, please","Thats no problem, which room type are you interested in"
Can you tell me about your room types and prices please,"Sure, we currently have 8 room types available Our Comfort Standard Room and Comfort Single Room are both 108RMB per night, the Business Duplex Standard room and Business Duplex King Room are both 108RMB per night, Executive Business Standard King Room and Fashionable Smart Standard Room are both 128rmb per night, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room are all 200rmb per night Is there a specific room type that you are looking for or would you like to hear more options"
Thats a lot of room typesCan you tell me what are the amenities that comes with each type of room,"Yes, all the rooms come with air condiitioner, washing machine, hair dryer, television, electric kettle, and free WiFi And the password for the WiFi is your room number We also provide free parking near the hotel, breakfast from 930am to 1030am, and gym access for guests Does this help with making your decision on what room type you want"
"Yes it does I want to book a Fashionable Smart Standard Room, please",Alright The per night rate for the Fashion Smart Standard Room is 128rmb Our check in time is at 300 pm and check out time is at 1200 pm Is there anything else I can help you with
"No, that is all Thank you very much",No problem Please feel free to contact us if you need help or have any other concerns Have a great day
"Hello, Id like to make a reservation at Lihao Hotel Can I get some information before I do","Of course Lihao Hotel is located at 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden Our checkin time is 300 pm, and our checkout time is 1200 pm We have quite a variety of room types, including comfort standard room108rmb, comfort single room 108rmb, business duplex standard room 108rmb, business duplex king room 108rmb, executive business standard king room 128rmb, fashionable smart standard room 158rmb, fashionable smart king room 158rmb, leisure duplex chess room 200rmb, leisure duplex chess room 200rmb, and diversified smart film rom 400rmb Is there anything else you would like to know"
"Yes, do you offer any amenities For instance, is breakfast included, and is there a gym or nearby amenities I could use","Breakfast is available from 930 am to 1030 am A gym is available for our guests as well There is also a supermarket, cinema, and market nearby that you can visit On top of that, all of our rooms are equipped with air conditioners, washing machines, hair dryers, televisions, and electric kettles Furthermore, we offer free parking near the hotel"
That sounds incredible Could I also get the WiFi password,"Yes, the WiFi password is the same as your room number"
Thank you very much Can I make the reservation now,Of course What kind of room would you like
"Hi there, Im looking for a room to stay at your hotel and wanted to know more about the details Could you please provide more information ","Certainly Here at Lihao Hotel, located at 186 Zhuluo East Road, we provide a range of comfortable and stylish accommodations for you We have the comfort standard room for 108rmb, comfort single room for 108rmb, business duplex standard room for 108rmb, business duplex king room for 108rmb, executive business standard king room for 128rmb, fashionable smart standard room for 158rmb, fashionable smart king room room for 158rmb, leisure duplex chess room for 200rmb, leisure duplex chess room for 200rmb, and diversified smart film rom for 400rmb Our checkin time is at 3 pm and checkout time is 12 pm"
"Hello, I would like to book a room at the Lihao Hotel","Hello, and welcome to Lihao Hotel How may I help you"
I wanted to enquire about the rates and availability of your rooms,"Certainly We have several room types available, including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Room Rates range from 108RMB to 400RMB Is there a specific room type that you are interested in"
"Yes, I am interested in the Diversified Smart Film Room",The Diversified Smart Film Room is our most luxurious room type and is 400RMB per night Is that within your budget
"Yes, that would be fine",Perfect When would you like to checkin and checkout
I would like to checkin at 300 pm and checkout at 1200 pm,"No problem You will find that we have many great amenities in the hotel We offer WiFi with the password being the room number, a gym available for guests, and free parking near the hotel Our breakfast is available from 930 am to 1030 am, and there are many local amenities nearby, such as a supermarket, cinema, and market We also provide air conditioning, a washing machine, a hair dryer, a television, and an electric kettle in all our room types"
That sounds great,Wonderful Would you like to book a room now
"Yes, I would",Devine Please provide your contact information so I can get started on your booking
"Hi, Id like to make a reservation at Lihao Hotel","Hi, thank you for choosing Lihao Hotel How can I help you"
"First, could you please tell me the checkin and checkout time",Sure The checkin time is 300 pm and the checkout time is 1200 pm
Great Do you have different room types available,"Yes, we have a few different room types We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb"
"Okay, I think Id like to book the Comfort Standard Room Do you offer breakfast","Yes, we offer breakfast from 930 am to 1030 am"
Are there any other amenities you can provide me with,"Sure We offer a gym and free WiFi with the password being the room number We also have a supermarket, a cinema, and a market that are within walking distance of the hotel We have air conditioner, washing machine, hair dryer, television and electric kettle, as well as free parking near the hotel"
Great Could I make the reservation now,"Sure, please tell me your name and I can book you in Furthermore, could you please provide us with your contact information, such as a telephone number or an email address"
"Sure, my name is John Smith, and my phone number is 09944444444 and my email address is johnsmithexamplecom","Alright, Ive reserved a Comfort Standard Room for you The front desk telephone number is 1234567789 if you have any questions"
"Good morning, I am interested in staying at Lihao Hotel Could you provide me more information about it","Certainly Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm and checkout time is 1200 pm We have a variety of room types available starting from Comfort Standard Room at 108rmb, and going up to Diversified Smart Film Room at 400rmb We also have amenities like gym, WiFi, and free parking near the hotel We even provide breakfast from 930 am to 1030 am"
That sounds like a great deal What about other modern amenities,"Yes, we also have air conditioners, washing machines, hair dryers, televisions and electric kettles in all our rooms Our WiFi password is the room number, so you can easily access the internet"
Does your hotel offer any other services like a laundry service,"Yes, we provide a laundry service at an additional cost We also offer room service, and we have a 247 customer service line in case you need any assistance during your stay Our telephone number is 1234567789"
"Thats great, thank you I think Ill book a room at your hotel",Wonderful Ill be happy to help you with the booking process Do let me know if theres anything else I can help you with
"Hi, I am interested in booking a room in your Lihao Hotel for one night Can you tell me more about the hotel and your room options","Sure, Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom All these rooms come with air conditioner, washing machine, hair dryer, television and electric kettle Our checkin time is 300 pm, and checkout time is 1200 pm"
"What about the breakfast, gym and WiFi services","We offer breakfast from 930 am to 1030 am We have a gym for our guests as well as free WiFi and the password for WiFi is the room number For people travelling with their own vehicle, there is free parking near the hotel"
Great What amenities are there nearby,"There is a supermarket, cinema, and market within walking distance from the hotel"
