Question,Answer,Question class
"Hi, Im looking for a place to stay for tonight Do you have any available rooms","Good afternoon Yes, we do have availability at the Lihao hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have several room types ranging from Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Leisure Duplex Chess Room, and Diversified Smart Film Room Our checkin time is 300 pm and our checkout time is 1200 pm",4
"Thats great, what are the prices","Sure Prices start at 108rmb for the Comfort Standard and Comfort Single rooms, 128rmb for the Executive Business Standard King Room, 158rmb for theFashionable Smart Standard and King rooms, and 200rmb for the Leisure Duplex Chess Room, and 400rmb for the Diversified Smart Film Room",4
What amenities are available in your hotel,"Yes, of course All of our rooms come with air conditioning, a washing machine, a hairdryer, a television, and an electric kettle for your convenience We also have free parking available near the hotel, as well as complimentary WiFi with the password being the room number Our breakfast is served daily from 930 am to 1030 am and we have a gym available for all of our guests Plus, were extremely close to a supermarket, cinema, and market, so youll never be far from amenities that you may need",3
"Hi, Im interested in checking in to Lihao Hotel","Hi there, delighted to have you as our guest Please tell me a bit more about your requirements",1
Sure Id like a Comfort Standard Room and Ill be checking in at 300 pm,"That sounds perfect Our Comfort Standard Room starts at 108 rmb Additionally, for your convenience, we offer a range of services with your room such as air conditioning, washing machine, hair dryer, television, electric kettle and more Also, we provide free WiFi with the password as the room number",4
That sounds great Do you have any nearby amenities like a supermarket or cinema,"Yes, indeed Lihao Hotel is located next to the fruit market and across from Futian Garden, so you can easily access supermarkets, cinema and market around the area",4
Do you have any other activities like a gym or free parking around the hotel,"Yes, we have a gym available for our guests, as well as free parking near the hotel We also provide complimentary breakfast every morning from 930 am to 1030 am",1
From your description I think this hotel is just what I need Ill go ahead and book this room,Wonderful We are delighted to have you here Please let me know if you require anything else,1
"Hi, I would like to make a booking at Lihao Hotel",Hi there Would you like to make a reservation for a specific room type,1
"Yes, I would like to book a Comfort Standard Room","Sure, let me just check the availability of the room Hotel Agent checks availability Okay, the Comfort Standard Room is available When would you like to checkin and checkout",1
Can I checkin on Saturday 3PM and checkout on Sunday at 12PM,"Yes, that should be fine Are you aware of the amenities offered at our hotel",4
"Yes, I know you offer WiFi, free parking, and a gym for guests","Thats correct Also, all of the rooms are airconditioned, have a television, electric kettle, hair dryer, and washing machine Breakfast is served from 930am  1030am in the restaurant Is there anything else I can help you with",4
What is the cost for one night in the Comfort Standard Room,The Comfort Standard Room costs 108RMB per night Please let me know when youre ready to book the room and I can assist you with the reservation process,1
"Yes, Im ready Please book the room and Ill be there Saturday afternoon","Alright, the Comfort Standard Room is now booked Please remember the checkin time is 300 and the checkout time is 1200 If there is any other information you need or if you have any questions, please do not hesitate to contact us Thank you for choosing Lihao Hotel, and I look forward to seeing you on Saturday",1
Good morning I am interested in staying at Lihao Hotel and would like more information,"Absolutely Welcome to Lihao Hotel Our Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We offer a variety of room types, comfort standard room, comfort single room, business duplex standard, business duplex king room, executive business standard king, fashionable smart standard room, fashionable smart king room, leisure duplex chess, diversified smart film rom, and all of them include air conditioner, washing machine, hair dryer, television, and electric kettle Our checkin time is 300 pm and checkout time is 1200 pm If you need more information, please dont hesitate to ask",4
Thats great Can you tell me what amenities are near the hotel,"Sure Near the hotel, there is a supermarket, cinema, and market You can also enjoy free parking near the hotel, as well as our complimentary breakfast which is available between 930 am to 1030 am We also have a gym available for our guests if they would like to workout Lastly, we have WiFi available, with the password being the room number",1
That sounds amazing Do you have any special rates or promotions I could take advantage of,"Definitely We will be happy to offer you a special discounted rate if you book directly with us Additionally, if you are a returning customer we can offer you a loyalty discount Please let us know your requirements when you are booking and we can give you more information about our discounts Our staff will be more than happy to help you find the perfect package for your needs",1
"Hello, Id like to book a room at the Lihao Hotel","Hi there, how can I help you",1
Im looking for a comfortable and spacious room,"Sure, we have several room types available We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom The prices range from 108rmb to 400rmb Is there a particular type you prefer",1
"Yes, Id like to know more about the Fashionable Smart Standard Room and the Fashionable Smart King Room","Of course The Fashionable Smart Standard Room provides a comfortable and stylish stay for one guest and it is priced at 158rmb The Fashionable Smart King Room provides the same for two guests and it costs 158rmb as well Both rooms come with air conditioner, a washing machine, a hair dryer, a television, an electric kettle, and free WiFi with the password being the room number Theres also a supermarket, cinema, and market nearby as well as complimentary parking lot near the hotel",3
All sounds great What are the checkin and checkout times,The checkin time is 300 pm and the checkout time is 1200 pm,4
"Ok, that sounds great Anything else I should know","Yes, we have a gym available at the hotel and our breakfast service is only available between 930 am and 1030 am",1
Thats all I need Can I book a room now,"Yes, of course Ill be glad to help you with that Please provide your name and contact details so we can confirm your booking",1
"Hi, Im looking for accommodation in the Lihao Hotel","Welcome, we are glad to have you Our Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have many types of room available, including Comfort Standard Room at 108rmb, Comfort Single Room at 108rmb, Business Duplex Standard Room at 108rmb, Business Duplex King Room at 108rmb, Executive Business Standard King Room at 128rmb, Fashionable Smart Standard Room at 158rmb, Fashionable Smart King Room at 158rmb, Leisure Duplex Chess Room at 200rmb, Diversified Smart Film Rom at 400rmb Checkin time is 300 pm, and checkout time is 1200 pm",4
Can you tell me more about the amenities available,"Sure Sure We have free WiFi, you can use the password being the room number We also have a gym that is available for our guests Moreover, we have air conditioner, washing machine, hair dryer, television in our rooms and electric kettle And there are a supermarket, cinema and market around our hotel as well as a free parking near the hotel available We also provide breakfast from 930 am to 1030 am",1
That sounds great Id like to book a room What do I need to do,You can either book online or come to our front desk and make the reservation Our front desk telephone number is 1234567789 Please feel free to contact us if you have any more questions We would be more than happy to help you,1
"Hi, I wanted to book a room for two nights in your hotel","Sure We would be happy to help you out Let me give you some information about Lihao Hotel, our location is 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have various room types available Our checkin time is 300 pm and checkout time is 1200 pm Please let us know which one you would like to book",4
Could you tell me what type of room do you offer and how much are they,"Sure We offer Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb",1
Could you tell me what amenities are included,"Yes, for your convenience we provide complimentary breakfast from 930 am to 1030 am, gym is available for guests, Wifi is available with the password being the room number, we also have nearby amenities such as supermarket, cinema, and market We also provide Air Conditioner, Washing Machine, Hair Dryer, Television, Electric Kettle and free parking available near the hotel",1
That sounds great Ill take the Comfort Standard Room for two nights,Great We can book it for you Would you like to pay now or later,4
Later,No problem Just make sure you pay at least 24 hours before your check in Please provide us with any further information that we may need prior to the check in Is there anything else that I can help with,4
"No, thats all Thank you",Youre welcome We look forward to having you with us Have a great day,1
"Hi, Id like to make a reservation at Lihao Hotel","Hi, certainly I can help you with that What is the checkin time",3
3 pm,Alright Do you have a preference for what type of room,1
"Yes, can I get a Fashionable Smart King Room","Yes, that is available for 158rmb",4
Great What type of amenities does this room have,"The room has air conditioning, a washing machine, a hairdryer television, and electric kettle It also has access to WiFi with its password being the room number",4
"Okay, that sounds good What about other amenities such as a breakfast or a gym",Lihao Hotel provides a complimentary breakfast from 930 am to 1030 am We also have a gym available for guests,4
Wonderful Is the free parking available near the hotel,"Yes, we offer free parking near the hotel",4
"Great How far away is the supermarket, cinema, and market","All of them are within walking distance The supermarket is right next to the hotel, the cinema is across the street, and the market is a few minutes away",4
Perfect How is your front desk telephone number,Our telephone number is 1234567789,3
What is the checkout time,The checkout time is 12 pm,1
"Okay, that sounds good Id like to reserve the room for three nights",Certainly Ill need a few details to book the room Would you like to provide them now,4
Hi there I am interested in staying in Lihao Hotel for a few days Could you tell me about the amenities and room types that are available,"Sure, Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is 300 pm and checkout time is 1200 pm We offer a range of different room types including Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom Prices range from 108 rmb to 400 rmb",4
"Great Are there any other amenities such as WiFi, breakfast, or gym that the hotel provides","Yes, of course We offer complimentary WiFi which is available with the password being the room number Breakfast is available from 930 am to 1030 am and a gym for our guests convenience We also have air conditioner, washing machine, hair dryer, television, and electric kettle in all rooms And, free parking is available near the hotel",4
"That sounds great Are there any other nearby amenities such as supermarkets, cinemas, or markets","Yes, there are plenty of amenities around the area There is a supermarket, a cinema, and a market all within walking distance of Lihao Hotel",1
Perfect Thats all I needed to know How do I book a room,You can easily book a room through our website or over the phone by calling our front desk telephone number which is 1234567789 We look forward to welcoming you soon,3
Good morning Im interested in checking into your hotel Do you have any information that might help me,"Certainly Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of different room types available, including the Comfort Standard Room and Comfort Single Room, which both cost 108rmb, the Business Duplex Standard Room and Business Duplex King Room, both 108rmb, the Executive Business Standard King Room, 128rmb, the Fashionable Smart Standard Room, 158rmb, the Fashionable Smart King Room, 158rmb, the Leisure Duplex Chess Room, 200rmb, and the Diversified Smart Film Room, 400rmb Our checkin time is 3 PM and checkout time is 12 PM",4
Thats great Do you have any other services or amenities youd like to tell me about,"Yes, of course We have a gym available for guests We also offer free WiFi throughout the hotel, the password being the room number We have a supermarket, a cinema, and a market in the nearby area We provide air conditioners, a washing machine, a hairdryer, a television, and an electric kettle in all of our rooms We offer free parking near the hotel Furthermore, our breakfast is served from 930 AM to 1030 AM",1
Thats wonderful Could you help me with a reservation,Absolutely Could you please tell me which room type you would like to reserve,1
Im interested in booking a room,"Hi there, welcome to Lihao Hotel My name is Anne and Im the hotel agent How can I help you",1
Id like to book a room for three nights starting tomorrow at the Lihao Hotel,"Great We have many room types and amenities available at the Lihao Hotel What type of room would you like We have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms",1
Ill take the Fashionable Smart King Room,"Great choice That room would cost you 158 rmb per night Are there any amenities that you would like for your room We have air conditioning, a washing machine, a hairdryer, a television, an electric kettle, and WiFi with the password being the room number",1
"Yes, Ill take the air conditioning, a hairdryer, a television, and the WiFi Is free parking available near the hotel","Yes, we do offer free parking near the hotel Breakfast is available from 930am to 1030am and the gym is available for our guests And the checkin time is 300 pm and the checkout time 1200 pm",4
"Okay, that sounds great Can I have the phone number of the front desk",Sure The phone number of the front desk is 1234567789 Is there anything else I can help you with,4
"No, I think thats all Thanks for your help",Youre very welcome I look forward to seeing you at Lihao Hotel tomorrow Have a nice day,1
"Hello, Id like to book a room at the Lihao Hotel","Hi there Sure, Id be happy to book a room for you at Lihao Hotel Can I have few more details so as to confirm your booking",1
"Yes, sure Ill need a Comfort Standard Room, and Im checking in on Monday evening",Excellent We have a variety of Comfort Standard Rooms available at Lihao Hotel Would you like to book one for the Monday evening checkin,2
"Yes, definitely How much will it cost",Itll be 108 RMB for the night,4
Are there any other amenities or services included in the cost,"Yes, absolutely Youll have access to WiFi, with the password being the room number Youll also have access to a gym and free parking near the hotel Breakfast is included from 930 am to 1030 am The air conditioner, television, electric kettle, washing machine and hair dryer are included in the room fee too",4
That sounds great Can you give me directions to the hotel,"Of course Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",4
Perfect What are the checkin and checkout times,The checkin time is at 300 pm and checkout time is at 1200 pm,1
"Ok, Id like to book the Comfort Standard Room for Monday","Perfect, Ive booked the room for you Youll find all the necessary details in the booking confirmation email that Ill send you If you need any assistance, please dont hesitate to call the hotels Front Desk at 1234567789",1
Thanks so much Ill see you on Monday evening,We look forward to welcoming you Enjoy your stay,1
"Hello Can I please book a room at the Lihao Hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",Absolutely Were glad to have you Let me pull up our system and find out what room types are available,1
Great Do you have a Comfort Standard Room available,"Yes, we do I can book that for you right away The room is 108rmb per night",3
Perfect I will also need to know the checkin and checkout times and any other amenities that come included with the room,"Alright The checkin time is 300 pm and the checkout time is 1200 pm We provide air conditioning and television We also have a hair dryer and electric kettle provided in the room Additionally, theres free WiFi available with the password being the room number, and free parking available near the hotel Breakfast is served from 930 am to 1030 am, and the gym is available for guests Theres a nearby supermarket, cinema, and market as well Would there be anything else",1
"Hi, I would like to make a reservation at Lihao Hotel please","Absolutely, I would be happy to help you with that What date would you like to book for",1
"Id like to stay from the 15th until the 20th of the month, please","Alright, that shouldnt be a problem What type of room would you like to reserve Our room types are Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and Diversified Smart Film Room400rmb",1
"I think Id like the Comfort Standard Room, please",Perfect The Comfort Standard Room is 108rmb per night Do you require any other amenities such as a hair dryer or teaching We offer those complimentary,4
"Yes, a hair dryer and a television would be great, thank you","Of course, those will already being in your room Is there anything else I can help you with",4
"Actually, do you offer free parking","Yes, free parking is available near the hotel Do you have any other questions",4
Just one more Will there be breakfast available at the hotel,"Yes, there is complimentary breakfast available from 930 am to 1030 am",4
"Hello, I wanted to make a booking at the Lihao Hotel Could you tell me more about the hotel and the services you offer","Of course Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin time is 300 pm, and our checkout time is 1200 pm We currently offer 10 different types of rooms  Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room and Diversified Smart Film Room  with prices ranging from 108rmb to 400rmb",1
"Yes, thats all I would like to book a Leisure Duplex Chess Room for two nights please",No problem Would you like to pay now or book the room first and pay upon checkin,2
"Id like to pay now, please","Alright The price for the room you are booking is 200rmbnight Ill need your details such as name, phone number and email so I can confirm the booking Is there anything else I can do to help you",4
"No, thats all Thank you",Youre welcome Your booking is now confirmed Enjoy your stay with us at Lihao Hotel,4
I was looking for a hotel to stay in and I found your Lihao Hotel,Welcome to Lihao Hotel How can I help you,1
I would like to know if you have any available rooms for tonight,"Yes, we do have a few different types of rooms available for tonight We have the Comfort Standard Room for 108 rmb, Comfort Single Room for 108 rmb, Business Duplex Standard Room for 108 rmb, Business Duplex King Room for 108 rmb, Executive Business Standard King Room for 128 rmb, Fashionable Smart Standard Room for 158 rmb, Fashionable Smart King Room for 158 rmb, Leisure Duplex Chess Room for 200 rmb, Leisure Duplex Chess Room for 200 rmb, and Diversified Smart Film Rom for 400 rmb",4
That sounds great Is there any other information I need to know,"Yes, of course Lihao Hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Checkin time is 300 pm and checkout time is 1200 pm We have a front desk telephone number that is 1234567789 Breakfast is served from 930 am to 1030 am We have an onsite gym for guests WiFi is available and the password is your room number We are near supermarkets, cinemas, and markets We also have an air conditioner, washing machine, hair dryer, television, and electric kettle in all rooms Free parking is available near the hotel",1
Thats great How do I book the room,You can book your room online on our website or call us at 1234567789 and our friendly staff will be more than happy to assist you,1
"Hi, Id like to book a room at Lihao Hotel","Hi, thank you for your interest in Lihao Hotel We offer a variety of room types, from Comfort Standard Rooms to Diversified Smart Film Rooms What type of room are you interested in",1
"I want the Leisure Duplex Chess Room, please","Sure Our Leisure Duplex Chess Room is 200RMB We provide a range of amenities for all of our guests, including free WiFi, air conditioning, washing machine, hair dryer, television, electric kettle, and free parking near the hotel Breakfast is served from 930 am to 1030 am, and we also have an onsite gym Is that the room you would like to reserve",3
"Yes, please What time is checkin","Checkin is available at 300 pm, and checkout time is at 1200 pm Our front desk telephone number is 1234567789 Are there any other questions I can help you with",4
"Yes, Id like to know if there are any nearby amenities","Nearby amenities include a supermarket, cinema, and market  Is there anything else I can help you with",4
"No, I think thats all","Very good Please let me know the date youd like to book, and we will be happy to reserve the Leisure Duplex Chess Room for you Thank you for choosing Lihao Hotel, and have a nice day",1
"Hi, Id like to inquire some information about the Lihao Hotel","Sure, How can I help you",4
Can you tell me the location of the Lihao Hotel,"The Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",4
What are the checkin and checkout times,The checkin time is 3 pm and the checkout time is 12 pm,4
Does the hotel have a telephone number for the front desk,"Yes, the telephone number for the front desk is 1234567789",
What types of rooms does the hotel offer,"We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and Diversified Smart Film Rom400rmb",4
Does the hotel provide breakfast,"Yes, breakfast is available from 930 am to 1030 am",4
Does the hotel have a gym,"Yes, the hotel does have a gym for guest use",4
Is WiFi available,"Yes, WiFi is available, and the password is your room number",4
Are there any nearby amenities such as supermarkets and cinemas,"Yes, there are supermarkets and cinemas as well as a market near the hotel",4
"Does the hotel have air condiitioner, washing machine, hair dryer, television, and electric kettle","Yes, the hotel has all of those amenities",4
Is there any free parking available,"Yes, there is free parking available near the hotel",1
"Hi, I need a room for two nights Can you tell me what types of rooms you have available and how much they cost","Of course We have several different room types available depending on your needs We have Comfort Standard Rooms for 108 RMB, Comfort Single Rooms for 108 RMB, Business Duplex Standard Rooms for 108 RMB, Business Duplex King Rooms for 108 RMB, Executive Business Standard King Rooms for 128 RMB, Fashionable Smart Standard Room for 158 RMB, Fashionable Smart King Room for 158 RMB, Leisure Duplex Chess Room for 200 RMB, and Diversified Smart Film Room for 400 RMB All of our rooms come with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle We also offer free parking near the hotel Is there anything else I can help you with",4
"Sounds great Do you provide free breakfast, and also is there a gym available","Yes, we offer complimentary breakfast every day from 930am to 1030am As for the gym, it is available for our guests and has all the necessary equipment you need We also offer free WiFi, with the password being your room number Is there anything else I can help you with",4
"Great What about the nearby amenities Are there supermarkets, cinemas, and markets","Yes, there are several nearby amenities such as supermarkets, cinemas, and markets all within walking distance from the hotel Is there anything else I can help you with",4
Thats it for now What is the checkin time and the checkout time for the hotel,Checkin time is at 300 pm and checkout time is at 1200 pm Do you have any other questions,4
"No, that should be it Can I get the front desk telephone number so I can contact you directly in case I have more questions",Of course The front desk telephone number is 1234567789 and we are always available to help Is there anything else I can help you with,4
No thats all Thank you very much for your help,It was my pleasure Thank you for choosing Lihao Hotel We look forward to seeing you soon,1
"Good afternoon, I am calling to inquire about a room reservation","Hi there, thank you for choosing Lihao Hotel How can I help you today",1
"Yes, I would like to check availability and make a reservation for a stay at your hotel","Certainly What kind of room are you looking for We have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, and Diversified Smart Film Rom400rmb",1
I would like to reserve a Fashionable Smart Standard Room,"OK, I can offer you that room Do you wish to pay any extra fees We also offer airport shuttles, breakfast, rent a car and more",4
That would be great Can you tell me more about any extra amenities such as the gym and WiFi access,Sure Our gym is open 247 and is free to all our guests For WiFi access the password is the same as your room number,4
I see What about nearby amenities such as supermarkets and other entertainment options,Absolutely We are located next to a fruit market and across from Futian Garden There are several supermarkets and cinemas in close proximity You can also find a variety of shops and marketplaces in the vicinity,4
"Sounds great I also need to know if you have airconditioning, television, and electric kettle in the room","Yes, all our rooms are airconditioned and have televisions with international channels We also provide an electric kettle in each room",4
Perfect Any availability for a free parking,"Yes, we have free parking available near the hotel",3
Thats great What is the checkin and check out time,The checkin time is at 300 pm and check out is 1200 pm,3
Okay Is there anything else I need to know,"Breakfast is available from 930 am to 1030 am, and for any other inquiries, please feel free to call our front desk at 1234567789  Is there anything else I can help you with",4
"No, that will be all",Wonderful We look forward to welcoming you Have a great day,4
"Hello, Im looking for a hotel to stay for the night Can you tell me more about Lihao Hotel","Certainly Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of room types available such as Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, etc All rooms come with air conditioner, television, electric kettle, washing machine and hair dryer We also provide complimentary breakfast, WiFi and gym access with the password being the room number Apart from our hotel, there are nearby amenities such as supermarket, cinema, and market We also provide free parking near the hotel Our checkin time is 300 pm and checkout time is 1200 pm Can I help you with anything else regarding the Lihao Hotel",1
"Yes, please could you tell me how much the different rooms cost","Of course The room types available are Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, and Diversified Smart Film Rom 400rmb Does that answer your question",1
"Yes, thank you I am interested in booking the Fashionable Smart King Room Is that available for tonight","Yes, it is available for tonight We kindly advise you to make an online booking ahead of time to get the best room rates and offers Would you like to make an online booking right away",1
"Yes, please That would be great Could you tell me the process of making an online booking","Of course First, you will need to go to our website and select the type of room you would like to book Thereafter, you will be required to select the checkin and checkout dates and provide personal information such as your name, address, phone number, etc After that, you can select the payment method that is suitable for you and pay the amount stated Once your booking is complete, you will receive a confirmation email or a booking reference number Is there anything else I can help you with",1
"Yes, can I get a discount if I book online","Absolutely We offer a variety of discounts on online bookings, depending on the type of room and the duration of the stay If you book online, you can get up to 20 discount depending on the availability and the time period",1
"Wow, thats great I would like to take advantage of this offer Can you help me with the online booking","Sure, I would be happy to help Please provide me with your personal information and I will proceed with the booking",1
"Hi, I would like to book a room at the Lihao Hotel","Hi there, welcome to the Lihao Hotel We are glad to have you here Are you looking for a standard room or aper upgraded one We have a wide selection of rooms to choose from",1
Im looking for the Comfort Standard Room,"Sure We have the Comfort Standard Room available for 108rmb per night Its equipped with airconditioner, washing machine, hair dryer, television, and electric kettle In addition, we also offer free parking and WiFi with the password being the room number Is that something youd be interested in",4
That sounds great I would also like to know what other amenities and facilities are available,"There are a lot of nearby amenities available We have a supermarket, cinema, and market in close proximity Our hotel also has its own gym, which is available for guests Breakfast is also served from 930 am to 1030 am Does this meet your needs",1
"Yes, thats perfect I would also like to know what other room types are available","We offer several room types We have Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room The prices range from 108rmb to 400rmb What type of room would you like",1
"Good afternoon, I am interested in making a reservation for Lihao Hotel","Hi there, For which date would you like to book the room",1
"I would like to book for tomorrow evening, around 4 pm","Sure, we have multiple room types Which type of room would you like to book",1
I would like to book a Comfort Standard Room,"Okay, we can arrange that for you The Comfort Standard Room costs 108rmb How many nights would you like to stay in the room",1
I would like to stay for two nights,"Okay, so two nights in the Comfort Standard Room will cost you 216rmb We offer checkin time is 300 pm and checkout time is 1200 pm Do you need anything else",4
"Yes, could you tell me a bit more about the amenities available","Sure, we provide various amenities such as air conditioner, washing machine, hair dryer, television, electric kettle, and free parking near the hotel We also offer breakfast from 930 am to 1030 am and a gym for our guests WiFi is also available with the password being the room number There are also supermarket, cinema, and market nearby",1
That sounds great I think that is all I need to know I would like to make a reservation for two nights,"Sure, I can arrange that for you Please provide your name, phone number, and mailing address, and I will send you a confirmation email for your reservation That will be all for today We look forward to welcoming you to Lihao Hotel tomorrow",1
"Hi, I would like to make a reservation for a room",Hi Welcome to Lihao Hotel How can I help you,1
I need to book a room for tonight,"Alright We have numerous room types available to choose from Our Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room and Diversified Smart Film Room are all available All of them are priced at 108rmb except for the Executive Business Standard King Room and Smart Film Room which are priced at 128rmb and 400rmb, respectively",1
I would like the Comfort Standard Room,Thats great How many guests are staying with you,4
Im alone,Perfect Our check in time is 300 pm and check out is at 1200 pm Our front desk telephone number is 1234567789 and we also provide free wifi The password is the same as your room number,4
What are the other amenities provided at the hotel,"Yes, we do provide a variety of amenities for our guests We have a gym available for guests and also provide access to a supermarket, cinema and market that are nearby We also provide air conditioners, washing machines, hair dryers, televisions and electric kettles in all our rooms And if you bring your vehicle, we offer free parking near the hotel Lastly, breakfast is from 930 am to 1030 am",4
"Thats great Im all set, thanks for your help",It was my pleasure Your reservation has been confirmed and we look forward to having you stay at our Lihao Hotel soon Have a wonderful day,1
"Hi, Im interested in booking a room at your hotel, Lihao Hotel","Hello Welcome to Lihao Hotel We are located 186 Zhuluo East Road, next to the fruit market and across from Futian Garden How may I be of assistance",4
What are the types of rooms and what are the rates,"Our hotel offers a variety of different rooms to suit a variety of customers needs We currently have Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb",3
"Okay, that sounds great What are your checkin and checkout times",Our checkin time is 300pm and our checkout time is 1200pm,4
"Do you offer any amenities, such as breakfast, a gym, WiFi, air conditioner, washing machine, hair dryer, television, electric kettle, and free parking","Yes, of course We provide a complimentary breakfast from 930am to 1030am We also have a gym available for guests WiFi is available as well and the password is the same as your room number Air conditioner, washing machine, hair dryer, television, and electric kettle are all included in the price of your room Free parking is available near the hotel as well as nearby amenities, such as a supermarket, cinema and market",4
That sounds great Does the hotel charge for using any of these amenities,"No, all of these amenities are free to use We offer a special rate for guests who book more than three nights, so please let us know if you plan to stay longer",1
"Yes, good morning, Id like to book a room for one night","Sure, what type of room would you like to book We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, Diversified Smart Film Room",1
"Ill go for the Comfort Standard Room, how much is the rate per night",The rate for the Comfort Standard Room is 108RMB per night,4
"Ok, can you please tell me the amenities provided","Sure, the amenities provided in the Comfort Standard Room include air conditioner, washing machine, hair dryer, television, electric kettle, and free WiFi with the password being the room number The hotel also offers free parking near the hotel And the breakfast service is available from 930 am to 1030 am Gym facility is also available for our guests",3
"Ok, thats great What is the checkin and checkout time",The checkin time is 300 pm and the checkout time is 1200 noon,1
"Ok, thats great I would like to book the room for one night","Sure, could I please have your details and payment method",2
"Sure, here is my details and payment method","Thank you, the booking is now confirmed Please do not hesitate to call us at 1234567789 for any assistance Enjoy your stay at Lihao Hotel",1
"Hello, Im looking to book a room at the Lihao Hotel",Hello We are delighted to have you and glad to assist you Please can you tell me your requirements,3
"Yes, Im looking to book a Comfort Standard Room What are the checkin and checkout times","Checkin time is available from 300 pm, and checkout time is 1200 pm Do you have any other requirements",4
